LOCATION,INDICATOR,GEN,Year,Value
EU27_2020,SELFEMP,MEN,2019,18.39885
EU27_2020,SELFEMP,MEN,2020,18.38439
EU27_2020,SELFEMP,MEN,2021,17.86957
AUS,SELFEMP,WOMEN,2018,7.697906
AUS,SELFEMP,WOMEN,2019,7.806888
AUS,SELFEMP,WOMEN,2020,7.851676
AUS,SELFEMP,WOMEN,2021,8.095675
AUT,SELFEMP,WOMEN,2018,9.4255
AUT,SELFEMP,WOMEN,2019,9.482062
AUT,SELFEMP,WOMEN,2020,9.577221
AUT,SELFEMP,WOMEN,2021,9.421475
BEL,SELFEMP,WOMEN,2018,10.73552
BEL,SELFEMP,WOMEN,2019,10.73131
BEL,SELFEMP,WOMEN,2020,10.94166
BEL,SELFEMP,WOMEN,2021,10.34146
CAN,SELFEMP,WOMEN,2018,7.947388
CAN,SELFEMP,WOMEN,2019,7.887584
CAN,SELFEMP,WOMEN,2020,8.422394
CAN,SELFEMP,WOMEN,2021,7.388286
CZE,SELFEMP,WOMEN,2018,12.40894
CZE,SELFEMP,WOMEN,2019,12.31361
CZE,SELFEMP,WOMEN,2020,12.57966
CZE,SELFEMP,WOMEN,2021,11.60813
DNK,SELFEMP,WOMEN,2018,5.099528
DNK,SELFEMP,WOMEN,2019,5.36598
DNK,SELFEMP,WOMEN,2020,5.499823
DNK,SELFEMP,WOMEN,2021,5.5367
FIN,SELFEMP,WOMEN,2018,9.236209
FIN,SELFEMP,WOMEN,2019,9.665442
FIN,SELFEMP,WOMEN,2020,9.252852
FIN,SELFEMP,WOMEN,2021,9.925226
FRA,SELFEMP,WOMEN,2018,8.350492
FRA,SELFEMP,WOMEN,2019,8.704323
FRA,SELFEMP,WOMEN,2020,9.324007
FRA,SELFEMP,WOMEN,2021,9.473281
DEU,SELFEMP,WOMEN,2018,7.290121
DEU,SELFEMP,WOMEN,2019,6.996324
DEU,SELFEMP,WOMEN,2021,6.333499
GRC,SELFEMP,WOMEN,2018,28.41484
GRC,SELFEMP,WOMEN,2019,26.56716
GRC,SELFEMP,WOMEN,2020,26.51613
GRC,SELFEMP,WOMEN,2021,25.78116
HUN,SELFEMP,WOMEN,2018,8.136762
HUN,SELFEMP,WOMEN,2019,8.329848
HUN,SELFEMP,WOMEN,2020,9.478738
HUN,SELFEMP,WOMEN,2021,9.876714
IRL,SELFEMP,WOMEN,2018,7.949528
IRL,SELFEMP,WOMEN,2019,7.73637
IRL,SELFEMP,WOMEN,2020,8.403821
IRL,SELFEMP,WOMEN,2021,8.099724
ITA,SELFEMP,WOMEN,2018,16.92469
ITA,SELFEMP,WOMEN,2019,17.08683
ITA,SELFEMP,WOMEN,2020,16.68979
ITA,SELFEMP,WOMEN,2021,16.16003
JPN,SELFEMP,WOMEN,2018,8.692956
JPN,SELFEMP,WOMEN,2019,8.385325
JPN,SELFEMP,WOMEN,2020,8.304962
JPN,SELFEMP,WOMEN,2021,8.261389
KOR,SELFEMP,WOMEN,2018,22.63957
KOR,SELFEMP,WOMEN,2019,22.08629
KOR,SELFEMP,WOMEN,2020,21.65453
KOR,SELFEMP,WOMEN,2021,20.5812
MEX,SELFEMP,WOMEN,2018,31.69913
MEX,SELFEMP,WOMEN,2019,32.62363
MEX,SELFEMP,WOMEN,2020,29.63107
MEX,SELFEMP,WOMEN,2021,32.1457
NLD,SELFEMP,WOMEN,2018,13.16297
